"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","11-juil.-2026","DRKN8066","Quartier_CPA","11/07/2026 10:24:00","11/07/2026 11:28:00","1,07","1,07","30","Passive","Fuel shortage","Appoint de 250 L","Oui","TRB1386169"
"2","11-juil.-2026","DRKN0203","Mazal","11/07/2026 12:41:15","11/07/2026 13:04:00","0","0,38","25","Passive","8/12 BBU bloqués  à  cause  de mauvaise qualité du grid","","Non","TRB1386237"
"3","11-juil.-2026","DRKN0202","Mbanza Mpa","11/07/2026 15:57:15","11/07/2026 16:38:00","0","0,68","15","Passive","Fusible d'alimentation de BBS  declenché","Enclechement manuel du CB","Non","TRB1386302"
"4","11-juil.-2026","DRKN0074","Sans Fil","11/07/2026 16:12:15","11/07/2026 16:32:00","0","0,33","25","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 113 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1386311"
"5","11-juil.-2026","DRKN0202","Mbanza Mpa","11/07/2026 17:51:15","11/07/2026 18:16:00","0,68","0,43","20","Passive","Fusible d'alimentation de BBS  declenché","Contrôleur Retiré site sous DG","Non","TRB1386339"
"6","11-juil.-2026","DRKN6862","New Etrier","11/07/2026 20:13:15","11/07/2026 21:53:00","1,21","1,67","30","Passive","Alarme Under Voltage to DG to DG due à une prise d'air","Purge du circuit carburant et démarrage du DG","Non","TRB1386371"
"7","11-juil.-2026","DRKN0286","Ngaliema","11/07/2026 20:46:15","11/07/2026 22:40:00","0","1,9","30","Passive","CB  de 125 A du tenant Vodacom Off au niveau de BBS,suite au high-temp, Les Fan de la BBS ne sont pas alimentés","Enclechement manuel du CB","Non","TRB1386404"
"8","11-juil.-2026","DRKN0119","3 Vallées","11/07/2026 21:50:15","11/07/2026 22:07:00","0,83","0,28","25","Passive","Mauvaise qualité de Grid","Grid isolé et demarrage DG","Non","TRB1386396"
"9","11-juil.-2026","DRKN0216","Bamboma","11/07/2026 20:41:15","11/07/2026 21:11:00","0,85","0,5","30","Passive","Chute de la fréquence du niveau du DG due au fil principal du circuit d'excitation de l'électrovanne déconnecté ( cause probable , vibration au niveau du génerateur )","Fil reconnecté et démarrage du DG  .","Non","TRB1386396"
